,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,Pos Control,-0.03791428571,,-0.03071428571,78.22673305,,,160 SI MUC,Male,--,9.314438912,,,9.314438912,,,,9.314438912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,168 SI TS,-0.04045714286,,-0.03325714286,84.70317886,103.1137495,,170 SI MUC,Male,++,22.41286863,,,,,22.41286863,,,,22.41286863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,168 SI TS,-0.04768571429,,-0.04048571429,103.1137495,,,176 SI MUC,Male,++,35.00191498,,,,,35.00191498,,,,35.00191498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,173 SI TS,-0.0464,,-0.0392,99.83914209,119.0501723,,180 SI MUC,Female,++,1.382612026,,,,,1.382612026,,,,1.382612026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,173 SI TS,-0.05394285714,,-0.04674285714,119.0501723,,,193 SI MUC,Male,+-,11.93412486,,,,11.93412486,,,,11.93412486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,178 SI TS,-0.05965714286,,-0.05245714286,133.6039831,133.6039831,,212 SI MUC,Female,--,24.59594025,,,24.59594025,,,,24.59594025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,178 SI TS,-0.0392,,-0.032,81.50134048,,,167 SI MUC,Male,--,27.14285714,,,27.14285714,,,,27.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,182 SI TS,-0.06085714286,,-0.05365714286,136.6602834,136.6602834,,172 SI MUC,Female,+-,4.220605132,,,,4.220605132,,,,4.220605132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,182 SI TS,-0.04148571429,,-0.03428571429,87.3228648,,,177 SI MUC,Male,++,13.17119877,,,,,13.17119877,,,,13.17119877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,203 SI TS,-0.03474285714,,-0.02754285714,70.14936806,144.5193412,,181 SI MUC,Female,+-,21.8307162,,,,21.8307162,,,,21.8307162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12,203 SI TS,-0.06394285714,,-0.05674285714,144.5193412,,,202 SI MUC,Female,++,7.2769054,,,,,7.2769054,,,,7.2769054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,159 SI MUC,-0.01228571429,,-0.005085714286,12.95289161,19.28379931,,213 SI MUC,Male,+-,40.0229797,,,,40.0229797,,,,40.0229797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,159 SI MUC,-0.01477142857,,-0.007571428571,19.28379931,,,,,,,,,25.80875782,26.92454998,18.33780161,,25.80875782,19.72041363,18.33780161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,169 SI MUC,-0.01254285714,,-0.005342857143,13.6078131,33.32822673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,169 SI MUC,-0.02028571429,,-0.01308571429,33.32822673,,,,Sex,slc a393t,GPX Activity,,,WT,HET,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,175 SI MUC,-0.0134,,-0.0062,15.79088472,19.1382612,,168 SI TS,Male,--,103.1137495,,,103.1137495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,175 SI MUC,-0.01471428571,,-0.007514285714,19.1382612,,,173 SI TS,Female,++,119.0501723,,,,,119.0501723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,179 SI MUC,-0.0164,,-0.0092,23.43163539,23.43163539,,178 SI TS,Male,+-,133.6039831,,,,133.6039831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,179 SI MUC,-0.01162857143,,-0.004428571429,11.27920337,,,182 SI TS,Female,+-,136.6602834,,,,136.6602834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,191 SI MUC,-0.01574285714,,-0.008542857143,21.75794715,21.75794715,,203 SI TS,Female,++,144.5193412,,,,,144.5193412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,191 SI MUC,-0.01551428571,,-0.008314285714,21.17579471,,,159 SI TS,Male,--,81.13749521,,,81.13749521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,204 SI MUC,-0.01617142857,,-0.008971428571,22.84948296,29.54423592,,169 SI TS,Male,--,98.74760628,,,98.74760628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,204 SI MUC,-0.0188,,-0.0116,29.54423592,,,175 SI TS,Male,++,124.7261586,,,,,124.7261586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,159 SI TS,-0.02305714286,,-0.01585714286,40.38682497,81.13749521,,179 SI TS,Male,+-,105.3695902,,,,105.3695902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,159 SI TS,-0.03905714286,,-0.03185714286,81.13749521,,,191 SI TS,Male,+-,106.8977403,,,,106.8977403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,169 SI TS,-0.04597142857,,-0.03877142857,98.74760628,98.74760628,,204 SI TS,Female,+-,126.3270777,,,,126.3270777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,169 SI TS,-0.03565714286,,-0.02845714286,72.47797779,,,160 SI TS,Male,--,85.72194561,,,85.72194561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,175 SI TS,-0.05617142857,,-0.04897142857,124.7261586,124.7261586,,170 SI TS,Male,++,64.25507468,,,,,64.25507468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,175 SI TS,-0.04622857143,,-0.03902857143,99.40252777,,,176 SI TS,Male,++,99.32975871,,,,,99.32975871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,179 SI TS,-0.02528571429,,-0.01808571429,46.06281118,105.3695902,,180 SI TS,Female,++,115.1934125,,,,,115.1934125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,179 SI TS,-0.04857142857,,-0.04137142857,105.3695902,,,193 SI TS,Male,+-,89.43316737,,,,89.43316737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9,191 SI TS,-0.04917142857,,-0.04197142857,106.8977403,106.8977403,,212 SI TS,Female,--,140.7353504,,,140.7353504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,191 SI TS,-0.04534285714,,-0.03814285714,97.14668709,,,167 SI TS,Male,--,76.55304481,,,76.55304481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D11,204 SI TS,-0.05608571429,,-0.04888571429,124.5078514,126.3270777,,172 SI TS,Female,+-,97.14668709,,,,97.14668709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D12,204 SI TS,-0.0568,,-0.0496,126.3270777,,,177 SI TS,Male,++,115.6300268,,,,,115.6300268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,160 SI MUC,-0.01085714286,,-0.003657142857,9.314438912,9.314438912,,181 SI TS,Female,+-,95.54576791,,,,95.54576791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,160 SI MUC,-0.007228571429,,-0.00002857142857,0.072769054,,,202 SI TS,Female,++,123.2707775,,,,,123.2707775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,170 SI MUC,-0.016,,-0.0088,22.41286863,22.41286863,,213 SI TS,Male,+-,80.55534278,,,,80.55534278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,170 SI MUC,-0.01377142857,,-0.006571428571,16.73688242,,,,,,,,,97.66819865,107.9488489,113.2468403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,176 SI MUC,-0.0196,,-0.0124,31.58176944,35.00191498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,176 SI MUC,-0.02094285714,,-0.01374285714,35.00191498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,180 SI MUC,-0.007371428571,,-0.0001714285714,0.436614324,1.382612026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,180 SI MUC,-0.007742857143,,-0.0005428571429,1.382612026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,193 SI MUC,-0.01188571429,,-0.004685714286,11.93412486,11.93412486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10,193 SI MUC,-0.01011428571,,-0.002914285714,7.422443508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,212 SI MUC,-0.01685714286,,-0.009657142857,24.59594025,24.59594025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,212 SI MUC,-0.01582857143,,-0.008628571429,21.97625431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,160 SI TS,-0.0366,,-0.0294,74.87935657,85.72194561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,160 SI TS,-0.04085714286,,-0.03365714286,85.72194561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,170 SI TS,-0.01894285714,,-0.01174285714,29.90808119,64.25507468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,170 SI TS,-0.03242857143,,-0.02522857143,64.25507468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F5,176 SI TS,-0.02631428571,,-0.01911428571,48.68249713,99.32975871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F6,176 SI TS,-0.0462,,-0.039,99.32975871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7,180 SI TS,-0.03671428571,,-0.02951428571,75.17043278,115.1934125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8,180 SI TS,-0.05242857143,,-0.04522857143,115.1934125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F9,193 SI TS,-0.04231428571,,-0.03511428571,89.43316737,89.43316737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10,193 SI TS,-0.0007428571429,,0.006457142857,-16.4458062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11,212 SI TS,-0.05331428571,,-0.04611428571,117.4492532,140.7353504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F12,212 SI TS,-0.06245714286,,-0.05525714286,140.7353504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,167 SI MUC,-0.01708571429,,-0.009885714286,25.17809268,27.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2,167 SI MUC,-0.01785714286,,-0.01065714286,27.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3,172 SI MUC,-0.008857142857,,-0.001657142857,4.220605132,4.220605132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4,172 SI MUC,-0.008285714286,,-0.001085714286,2.765224052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5,177 SI MUC,-0.009057142857,,-0.001857142857,4.72998851,13.17119877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6,177 SI MUC,-0.01237142857,,-0.005171428571,13.17119877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7,181 SI MUC,-0.01374285714,,-0.006542857143,16.66411337,21.8307162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8,181 SI MUC,-0.01577142857,,-0.008571428571,21.8307162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9,202 SI MUC,-0.01005714286,,-0.002857142857,7.2769054,7.2769054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10,202 SI MUC,-0.0096,,-0.0024,6.112600536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11,213 SI MUC,-0.01522857143,,-0.008028571429,20.44810417,40.0229797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12,213 SI MUC,-0.02291428571,,-0.01571428571,40.0229797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,167 SI TS,-0.03725714286,,-0.03005714286,76.55304481,76.55304481,,167 SI TS,76.55304481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,167 SI TS,-0.03605714286,,-0.02885714286,73.49674454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3,172 SI TS,-0.04534285714,,-0.03814285714,97.14668709,97.14668709,,172 SI TS,97.14668709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4,172 SI TS,-0.04134285714,,-0.03414285714,86.95901953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5,177 SI TS,-0.0526,,-0.0454,115.6300268,115.6300268,,177 SI TS,115.6300268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6,177 SI TS,-0.03325714286,,-0.02605714286,66.36537725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7,181 SI TS,-0.03171428571,,-0.02451428571,62.43584833,95.54576791,,181 SI TS,95.54576791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8,181 SI TS,-0.04471428571,,-0.03751428571,95.54576791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9,202 SI TS,-0.03342857143,,-0.02622857143,66.80199157,123.2707775,,202 SI TS,123.2707775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H10,202 SI TS,-0.0556,,-0.0484,123.2707775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H11,213 SI TS,-0.03882857143,,-0.03162857143,80.55534278,80.55534278,,213 SI TS,80.55534278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H12,213 SI TS,-0.02722857143,,-0.02002857143,51.01110686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,