MouseID,Date,0_hours,12_hours,24_hours,48_hours,Genotype,Sex,DOB,Diet,Treatment
58,22/5/2024,2,2,5,4,HET,Female,3/1/2024,Control,Indomethacin
78,22/5/2024,1,3,5,2,HET,Female,5/1/2024,Control,Indomethacin
97,12/7/2024,0,8,8,5,HET,Female,19/2/2024,Control,Indomethacin
147,7/8/2024,0,7,6,3,HET,Female,19/3/2024,Control,Indomethacin
154,7/8/2024,0,8,6,4,HET,Female,22/3/2024,Control,Indomethacin
85,5/7/2024,,2,,4,MUT,Female,13/2/2024,Control,Indomethacin
183,19/7/2024,0,6,5,10,MUT,Female,26/2/2024,Control,Indomethacin
156,7/8/2024,0,5,7,5,MUT,Female,22/3/2024,Control,Indomethacin
150,7/8/2024,0,4,6,4,MUT,Female,19/3/2024,Control,Indomethacin
99,12/7/2024,0,3,3,3,WT,Female,19/2/2024,Control,Indomethacin
182,19/7/2024,0,5,5,6,WT,Female,26/2/2024,Control,Indomethacin
155,7/8/2024,0,6,5,3,WT,Female,22/3/2024,Control,Indomethacin
140,7/8/2024,0,7,6,2,WT,Female,16/3/2024,Control,Indomethacin
168,21/8/2024,0,7,7,3,WT,Female,1/4/2024,Control,Indomethacin
32,5/6/2024,1,6,6,3,HET,Male,20/1/2024,Control,Indomethacin
34,5/6/2024,1,6,4,4,HET,Male,20/1/2024,Control,Indomethacin
35,5/6/2024,1,7,6,8,HET,Male,20/1/2024,Control,Indomethacin
42,12/6/2024,1,7,4,3,HET,Male,27/1/2024,Control,Indomethacin
43,12/6/2024,1,5,6,2,HET,Male,27/1/2024,Control,Indomethacin
33,5/6/2024,1,5,6,10,MUT,Male,20/1/2024,Control,Indomethacin
30,12/6/2024,1,8,6,5,MUT,Male,22/1/2024,Control,Indomethacin
95,12/7/2024,1,8,8,6,MUT,Male,19/2/2024,Control,Indomethacin
145,7/8/2024,0,3,1,2,MUT,Male,19/3/2024,Control,Indomethacin
192,7/8/2024,0,3,1,1,MUT,Male,16/3/2024,Control,Indomethacin
96,12/7/2024,1,5,7,9,WT,Male,19/2/2024,Control,Indomethacin
101,12/7/2024,0,4,5,3,WT,Male,20/2/2024,Control,Indomethacin
193,7/8/2024,1,6,6,8,WT,Male,16/3/2024,Control,Indomethacin
199,7/8/2024,0,5,5,3,WT,Male,16/3/2024,Control,Indomethacin
250,11/9/2024,0,7,7,3,WT,Male,18/4/2024,Control,Indomethacin
202,11/9/2024,0,8,6,2,WT,Male,4/18/24,Control,Indomethacin
54,22/5/2024,0,2,4,1,HET,Female,3/1/2024,Selenium,Indomethacin
56,22/5/2024,0,1,1,1,HET,Female,3/1/2024,Selenium,Indomethacin
65,5/6/2024,1,5,5,3,HET,Female,17/1/2024,Selenium,Indomethacin
90,5/7/2024,0,7,7,4,HET,Female,16/2/2024,Selenium,Indomethacin
91,5/7/2024,0,4,7,6,HET,Female,16/2/2024,Selenium,Indomethacin
39,5/6/2024,0,4,5,3,MUT,Female,20/1/2024,Selenium,Indomethacin
40,5/6/2024,0,4,4,2,MUT,Female,20/1/2024,Selenium,Indomethacin
41,5/6/2024,0,7,6,3,MUT,Female,20/1/2024,Selenium,Indomethacin
36,5/6/2024,0,4,6,3,MUT,Female,20/1/2024,Selenium,Indomethacin
181,19/7/2024,1,4,4,6,MUT,Female,26/2/2024,Selenium,Indomethacin
66,5/6/2024,0,6,5,8,WT,Female,17/1/2024,Selenium,Indomethacin
48,12/6/2024,1,5,4,3,WT,Female,27/1/2024,Selenium,Indomethacin
81,12/6/2024,1,6,2,2,WT,Female,27/1/2024,Selenium,Indomethacin
47,12/6/2024,1,5,1,1,WT,Female,27/1/2024,Selenium,Indomethacin
92,5/7/2024,1,6,7,4,WT,Female,16/2/2024,Selenium,Indomethacin
29,5/6/2024,0,4,2,3,HET,Male,17/1/2024,Selenium,Indomethacin
28,5/6/2024,0,8,7,4,HET,Male,17/1/2024,Selenium,Indomethacin
24,12/6/2024,1,4,4,2,HET,Male,27/1/2024,Selenium,Indomethacin
225,11/9/2024,1,4,5,2,HET,Male,18/4/2024,Selenium,Indomethacin
224,11/9/2024,0,5,5,1,HET,Male,18/4/2024,Selenium,Indomethacin
27,5/6/2024,0,3,5,5,MUT,Male,17/1/2024,Selenium,Indomethacin
83,5/7/2024,0,7,7,4,MUT,Male,13/2/2024,Selenium,Indomethacin
89,5/7/2024,0,6,6,2,MUT,Male,16/2/2024,Selenium,Indomethacin
176,19/7/2024,1,6,6,6,MUT,Male,26/2/2024,Selenium,Indomethacin
142,7/8/2024,0,6,6,2,MUT,Male,19/3/2024,Selenium,Indomethacin
144,7/8/2024,1,6,7,6,MUT,Male,19/3/2024,Selenium,Indomethacin
153,7/8/2024,0,4,8,3,WT,Male,22/3/2024,Selenium,Indomethacin
151,7/8/2024,0,5,3,2,WT,Male,22/3/2024,Selenium,Indomethacin
171,21/8/2024,0,5,5,3,WT,Male,17/4/2024,Selenium,Indomethacin
238,11/9/2024,0,4,5,5,WT,Male,18/4/2024,Selenium,Indomethacin